"Date","Price","Open","High","Low","Change %"
"Apr 13, 2021","0.8411","0.8395","0.8415","0.8395","0.21%"
"Apr 12, 2021","0.8394","0.8410","0.8424","0.8389","-0.07%"
"Apr 09, 2021","0.8400","0.8395","0.8427","0.8389","0.08%"
"Apr 08, 2021","0.8393","0.8426","0.8431","0.8383","-0.34%"
"Apr 07, 2021","0.8422","0.8421","0.8431","0.8392","0.04%"
"Apr 06, 2021","0.8419","0.8464","0.8478","0.8419","-0.53%"
"Apr 05, 2021","0.8464","0.8503","0.8520","0.8460","-0.41%"
"Apr 02, 2021","0.8499","0.8492","0.8512","0.8483","0.11%"
"Apr 01, 2021","0.8490","0.8525","0.8538","0.8489","-0.40%"
"Mar 31, 2021","0.8524","0.8536","0.8544","0.8503","-0.12%"
"Mar 30, 2021","0.8534","0.8500","0.8539","0.8493","0.41%"
"Mar 29, 2021","0.8499","0.8479","0.8503","0.8476","0.25%"
"Mar 26, 2021","0.8478","0.8501","0.8501","0.8471","-0.26%"
"Mar 25, 2021","0.8500","0.8465","0.8502","0.8454","0.41%"
"Mar 24, 2021","0.8465","0.8439","0.8468","0.8436","0.33%"
"Mar 23, 2021","0.8437","0.8381","0.8445","0.8374","0.72%"
"Mar 22, 2021","0.8377","0.8404","0.8424","0.8370","-0.27%"
"Mar 19, 2021","0.8400","0.8393","0.8422","0.8376","0.10%"
"Mar 18, 2021","0.8392","0.8348","0.8399","0.8341","0.54%"
"Mar 17, 2021","0.8347","0.8400","0.8414","0.8343","-0.64%"
"Mar 16, 2021","0.8401","0.8383","0.8416","0.8367","0.24%"
"Mar 15, 2021","0.8381","0.8367","0.8396","0.8355","0.20%"